Brand,Global Brand Rank:,Data Health,Requests,Platforms,Products,Reviews,Type
HP,1,57,604283606,1002,1636027,77,Sponsor
Lenovo,2,54,476578395,980,2906576,80,Sponsor
Samsung,3,59,275510079,924,230853,80,Sponsor
Apple,4,64,243735116,448,4931692,84,Non sponsor
ASUS,5,56,211857650,866,256592,82,Sponsor
Philips,6,66,205333311,655,92703,78,Sponsor
DELL,7,62,202866881,809,408921,79,Sponsor
HPE,8,47,109445778,296,590994,77,Non sponsor
Acer,9,50,102780275,448,228164,77,Sponsor
Fujitsu,10,49,93324552,229,150945,77,Sponsor
Micasia,11,56,80688198,32,1609549,0,Non sponsor
Cisco,12,43,80499068,197,3587804,77,Non sponsor
LG,13,57,67855244,679,43358,78,Sponsor
Epson,14,51,63966506,694,59963,79,Sponsor
ISBN,15,49,56975864,51,1408158,0,Non sponsor
Canon,16,52,56156794,676,131151,79,Sponsor
Bosch,17,55,52455337,356,70754,81,Sponsor
LEGO,18,71,48176574,141,11573,84,Sponsor
MSI,19,65,45911384,551,53589,83,Sponsor
QNAP,20,64,32995211,292,48985,86,Sponsor
Microsoft,21,53,30009335,283,236068,79,Non sponsor
APC,22,49,29401962,455,26018,81,Sponsor
Brother,23,53,29461512,670,29327,74,Sponsor
Siemens,24,50,27700415,225,111230,75,Sponsor
StarTech.com,25,63,27364647,413,10058,80,Sponsor
3M,26,51,25443295,229,51679,69,Sponsor
Whirlpool,27,57,23447137,224,10737,76,Sponsor
Origin Storage,28,63,22681354,215,30322,79,Sponsor
Memory Solution,29,51,21958767,20,19215,0,Non sponsor
HP Poly,30,49,22405649,391,30602,0,Sponsor
Hama,31,53,22207835,268,53316,77,Sponsor
Sophos,32,49,19896586,47,382697,93,Non sponsor
CoreParts,33,49,19903669,152,69872,0,Sponsor
Kingston Technology,34,58,19520551,621,13626,83,Sponsor
2-Power,35,46,18670031,99,46696,0,Sponsor
Sony,36,53,17947829,460,232647,79,Sponsor
Legrand,37,45,17473803,143,75555,79,Sponsor
Schneider Electric,38,39,17617711,67,75645,77,Non sponsor
Philips by Signify,39,58,17209004,200,17852,78,Sponsor
GIGABYTE,40,59,16261079,497,13835,84,Sponsor
TP-Link,41,59,15853325,690,6469,81,Sponsor
Logitech,42,54,15757308,528,15840,81,Sponsor
Spin Master,43,61,15859536,163,5153,81,Sponsor
Deltaco,44,56,15662309,118,7118,75,Non sponsor
Head Case Designs,45,45,15009794,17,229496,0,Non sponsor
Beko,46,60,14644249,285,9882,80,Sponsor
Nintendo,47,54,13932181,223,24564,80,Sponsor
Mattel,48,57,13860292,180,11955,72,Sponsor
Toshiba,49,46,13496737,183,220191,74,Non sponsor
KYOCERA,50,48,13532912,347,71354,70,Sponsor
IBM,51,39,13150423,89,230618,77,Non sponsor
Lexmark,52,45,12875730,181,55868,71,Non sponsor
Cellularline,53,57,12475758,128,10649,80,Sponsor
ATGBICS,54,55,12324574,30,20135,0,Sponsor
Trust,55,62,11757489,328,7017,76,Sponsor
Adobe,56,51,11653165,43,119538,75,Non sponsor
Xerox,57,50,11506850,506,104169,76,Sponsor
Kensington,58,59,11350842,475,9753,74,Sponsor
Zebra,59,47,11399726,207,77231,80,Non sponsor
NETGEAR,60,55,11289960,243,6599,79,Sponsor
D-Link,61,54,11076191,361,5960,77,Sponsor
Allied Telesis,62,44,10835528,151,21744,0,Sponsor
Xiaomi,63,56,10746034,271,11757,81,Non sponsor
Hotpoint,64,57,10547393,172,6648,75,Sponsor
Lindy,65,53,10107780,203,10713,74,Sponsor
Sharp,66,53,10072088,298,14918,75,Sponsor
Hot Wheels,67,53,10157407,151,10583,79,Sponsor
Tefal,68,58,9961194,201,8249,78,Sponsor
Seagate,69,57,9933083,366,11185,81,Sponsor
Candy,70,60,9775175,228,7997,76,Sponsor
Targus,71,55,9505743,397,9039,79,Sponsor
Bestway,72,59,9502500,143,5060,0,Sponsor
Jabra,73,63,9382819,402,7085,79,Sponsor
Indesit,74,55,9406692,171,4765,75,Sponsor
Hasbro,75,56,9374269,131,28920,78,Sponsor
Intel,76,52,9288898,247,39921,82,Non sponsor
BenQ,77,57,8905468,403,6298,79,Sponsor
Vertiv,78,55,8829342,140,16731,94,Sponsor
PHS-memory,79,46,8475931,20,25507,0,Non sponsor
Zyxel,80,51,8295414,241,7121,77,Sponsor
